id,name,symbol,price_usd,market_cap,ai,gaming,memes,rwa,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage
baby-trump-bsc,Baby Trump (BSC),babytrump,0.00023192,0.0,0,0,1,0,6223.0,110040.0,663.93,0.00024349,0.00023029,-1.1568947182568e-05,-4.75133,0.0,0.0,0.0,474474474.0,474474474.0,0.02542401,-99.08778,6.378e-05,263.64073
bijiri,BiJiRi,bjr,0.04477481,0.0,0,0,1,0,6223.0,152234365.0,304560.0,0.061545,0.04394107,-0.0127271110385057,-22.13337,0.0,0.0,0.0,3400000000.0,3400000000.0,0.066318,-32.48451,0.00884781,406.05514
baby-pepe-on-eth,Baby Pepe on ETH,peper,1.50362e-07,0.0,0,0,1,0,6223.0,63256.0,2.25,1.52132e-07,1.4916e-07,4.58246e-10,0.30569,0.0,0.0,0.0,420690000000.0,420690000000.0,2.5e-06,-93.98767,5.2831e-08,184.6121
catwifmelon,CATWIFMELON,melon,8.73e-06,0.0,0,0,1,0,6223.0,8732.24,29.18,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,1000000000.0,1000000000.0,0.00052738,-98.34422,3.61e-06,141.90121
coshi-inu,CoShi Inu,coshi,2.21441e-10,0.0,0,0,1,0,6223.0,221441.0,2.49,2.22923e-10,2.16955e-10,4.409e-12,2.03131,0.0,0.0,0.0,1000000000000000.0,1000000000.0,1.92963e-07,-99.88524,1.3194e-10,67.83412
choppy,Choppy,choppy,1.31831e-07,0.0,0,0,1,0,6223.0,13183.11,65.42,1.32904e-07,1.30374e-07,1.188e-09,0.90963,0.0,0.0,0.0,100000000000.0,100000000000.0,1.473e-05,-99.10489,1.08212e-07,21.82636
conan-2,Conan,conan,2.52955e-07,0.0,0,0,1,0,6223.0,252955.0,163.45,2.53041e-07,2.4668e-07,4.077e-09,1.63796,0.0,0.0,0.0,1000000000000.0,1000000000000.0,3.418e-05,-99.25993,1.27702e-07,98.08147
boxcat,BOXCAT,boxcat,0.00017322,0.0,0,1,1,0,6223.0,173221.0,1732940.0,0.00018335,0.00016849,-6.447367697001e-06,-3.58848,0.0,0.0,0.0,1000000000.0,1000000000.0,0.39503,-99.95615,0.00016849,2.8056
broccoli-6,Broccoli,broc,9.11e-06,0.0,0,0,1,0,6223.0,9087.35,21078.0,9.93e-06,8.96e-06,-7.46319451223e-07,-7.57547,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00717834,-99.87341,8.47e-06,7.33814
based-father-pepe,Based Father Pepe,fpepe,3.476e-05,0.0,0,0,1,0,6223.0,30816.0,6.54,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,886439730.2446173,1000000000.0,0.0033667,-98.96743,1.858e-05,87.12378
